unitid,al01c01,al01c02,al01c04,al02c02,al02c01,al02c04,al04c01,al04c03,al04c04,al05c01,al05c02,al05c03,al05c04,al07c02,al07c03,al07c04,al08c03,al08c04,al08c01,al04c02,al08c02,bl01,bl02,bl03,bl04,bl05,al01c03,al02c03,al07c01,al03c03,al03c04,al03c01,al03c02,al06c02,al06c03,al06c04,al06c01,genc01,genc02,genc03,genc04,varstrat,h_samp,smplwt,"xl01c01","xl01c02","xl01c03","xl01c04","xl02c01","xl02c02","xl02c03","xl02c04","xl03c01","xl03c02","xl03c03","xl03c04","xl04c01","xl04c02","xl04c03","xl04c04","xl05c01","xl05c02","xl05c03","xl05c04","xl06c01","xl06c02","xl06c03","xl06c04","xl07c01","xl07c02","xl07c03","xl07c04","xl08c01","xl08c02","xl08c03","xl08c04","xgenc01","xgenc02","xgenc03","xgenc04"
"230436","","1","","","","3","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","1","","1","","","2","1","5","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"268215","0","0","11","0","0","11","","","","","","","","","","","","","","","","","","","","","7","7","","","","","","","","","","0","0","14","22","26","E","7",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"230490","2","0","0","14","15","14","1","0","0","1","2","0","0","0","0","0","0","0","3","1","0","","","","","","0","13","0","0","0","","","7","0","1","0","22","24","13","15","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"230506","4","2","0","2","1","0","3","0","0","0","9","0","0","1","0","0","0","0","2","0","0","1","1","1","1","","0","0","0","2","0","","","2","0","0","2","12","16","2","0","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,10,10,10
"230515","4","2","0","2","1","0","3","0","0","0","9","0","0","1","0","0","0","0","2","0","0","1","1","1","","","0","0","0","2","0","","","2","0","0","2","12","16","2","0","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,10,10,10
"230533","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","0","0","0","0","1","2","0","1","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"289535","","1","","","","","","3","5","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","1","3","6","29","E","10",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"230560","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","0","0","0","0","0","0","0","0","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"230579","2","1","0","10","18","14","1","0","0","1","1","0","0","0","0","0","0","0","3","2","1","","","","","","0","17","1","1","1","","","8","0","3","0","26","23","18","18","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"230588","3","1","0","14","23","18","2","0","0","1","2","0","1","0","0","0","1","0","4","2","1","","","","","","0","21","1","1","1","","","10","1","4","0","34","30","24","24","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
